City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,sinabang,2.4803,96.3801,27.27,82,96,2.25,ID,1682285811
309,soure,-0.7167,-48.5233,26.09,84,100,2.68,BR,1682285586
310,taunggyi,20.7833,97.0333,17.71,51,1,1.73,MM,1682285812
311,vail,32.0479,-110.712,31.98,12,100,4.02,US,1682285813
312,joshimath,30.5667,79.5667,8.16,44,100,3.56,IN,1682285814
313,correia pinto,-27.5847,-50.3611,13.23,98,38,1.39,BR,1682285815
314,tanout,14.9709,8.8879,30.25,7,32,4.36,NE,1682285816
315,praia da vitoria,38.7333,-27.0667,19.14,88,75,7.25,PT,1682285816
316,fale old settlement,-9.3852,-171.2468,28.65,74,21,2.27,TK,1682285817
317,colwyn bay,53.2948,-3.7267,9.41,86,24,1.07,GB,1682285819
318,flying fish cove,-10.4217,105.6791,26.88,82,29,7.35,CX,1682285820
319,puerto maldonado,-12.6,-69.1833,30.22,54,20,2.06,PE,1682285820
320,pirallahi,40.4723,50.333,12.08,80,100,6.22,AZ,1682285821
321,novo aripuana,-5.1206,-60.3797,24.68,86,75,0.53,BR,1682285822
322,tidjikja,18.5564,-11.4271,29.21,14,0,4.25,MR,1682285823
323,luderitz,-26.6481,15.1594,18.9,48,100,1.83,NA,1682285824
324,bocaiuva,-17.1078,-43.815,24.84,63,85,3.34,BR,1682285825
325,alekseyevskoye,55.3071,50.1135,9.97,58,49,3.37,RU,1682285826
326,tvoroyri,61.5556,-6.8111,3.91,61,100,12.17,FO,1682285827
327,tofol,5.3248,163.0078,28.17,79,98,5.72,FM,1682285828
328,presidente medici,-11.1753,-61.9014,23.91,91,86,0.98,BR,1682285828
329,porto novo,6.4965,2.6036,27.9,81,100,2.75,BJ,1682285829
330,nyurba,63.2842,118.3319,-10.79,97,95,1.41,RU,1682285830
331,turpan,42.9333,89.1667,13.91,23,0,1.52,CN,1682285831
332,al lagowa,11.4,29.1333,30.65,39,71,6.0,SD,1682285832
333,tokar,18.4254,37.729,27.93,82,0,2.67,SD,1682285833
334,diu,20.7141,70.9822,25.12,75,23,5.69,IN,1682285815
335,ghardaia,32.4909,3.6735,24.64,19,40,3.09,DZ,1682285834
336,konsoy,40.4915,69.7025,10.98,23,67,1.86,TJ,1682285835
337,bubaque,11.2833,-15.8333,26.02,68,0,8.6,GW,1682285836
338,khandyga,62.6667,135.6,-5.16,84,100,2.36,RU,1682285836
339,alofi,-19.0595,-169.9187,26.94,69,3,6.17,NU,1682285837
340,haiku-pauwela,20.9219,-156.3051,27.01,51,20,4.12,US,1682285838
